epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,3705.48,1.0919,0.63216,0.86952,0.94914,0.88168,0.94421,0.53906,1.25927,0.77064,0.88826,0.00150005,0.00150005,0.00150005
103,3739.09,1.07347,0.61742,0.86954,0.98409,0.85039,0.94797,0.5777,1.2107,0.65281,0.88458,0.0014951,0.0014951,0.0014951
104,3772.01,1.03141,0.57625,0.84836,0.98086,0.88976,0.95351,0.56459,1.25084,0.68919,0.88744,0.00149015,0.00149015,0.00149015
105,3806.46,1.07057,0.59901,0.8639,0.97287,0.91339,0.95912,0.57819,1.21229,0.6725,0.88447,0.0014852,0.0014852,0.0014852
106,3836.61,1.0536,0.61663,0.86126,0.91734,0.8739,0.94698,0.59766,1.23117,0.7959,0.88205,0.00148025,0.00148025,0.00148025
107,3870.92,1.05673,0.598,0.85703,0.98307,0.8189,0.94773,0.60121,1.18742,0.6915,0.87251,0.0014753,0.0014753,0.0014753
108,3903.51,1.0599,0.62273,0.85868,0.90377,0.88739,0.95139,0.6008,1.2252,0.69664,0.88875,0.00147035,0.00147035,0.00147035
109,3939.28,1.051,0.61809,0.86306,0.97268,0.88189,0.96099,0.5805,1.23845,0.70783,0.88566,0.0014654,0.0014654,0.0014654
110,3974.23,1.06338,0.64355,0.84548,0.98891,0.93701,0.975,0.59906,1.22925,0.66796,0.88864,0.00146045,0.00146045,0.00146045
111,4008.23,1.05561,0.59538,0.85372,0.96642,0.90635,0.97308,0.59988,1.20992,0.62955,0.8931,0.0014555,0.0014555,0.0014555
112,4042.07,1.05046,0.58359,0.8564,0.97396,0.88339,0.95538,0.60158,1.20997,0.69879,0.88519,0.00145055,0.00145055,0.00145055
113,4075.41,1.00934,0.56769,0.85202,0.94812,0.93701,0.97781,0.6259,1.19576,0.63069,0.89647,0.0014456,0.0014456,0.0014456
114,4110.25,1.07204,0.58442,0.85527,0.92828,0.87402,0.9399,0.57319,1.27771,0.76384,0.90477,0.00144065,0.00144065,0.00144065
115,4142.01,1.01635,0.58153,0.84684,0.98948,0.91339,0.97517,0.60352,1.21308,0.66061,0.88388,0.0014357,0.0014357,0.0014357
116,4178.16,1.03832,0.59557,0.84738,0.96643,0.90669,0.97271,0.59707,1.20263,0.69408,0.88299,0.00143075,0.00143075,0.00143075
117,4210.8,0.99416,0.57734,0.84746,0.99143,0.91121,0.97165,0.61091,1.21282,0.64112,0.88889,0.0014258,0.0014258,0.0014258
