epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,6209.27,1.08382,0.54292,0.79223,0.94451,0.79788,0.88133,0.53246,1.20213,0.82225,0.8392,0.0013664,0.0013664,0.0013664
98,6270.04,1.12651,0.55053,0.80724,0.91315,0.77344,0.87869,0.53925,1.21588,0.76502,0.84857,0.0013598,0.0013598,0.0013598
99,6329.22,1.00976,0.53206,0.82015,0.93438,0.77874,0.891,0.56019,1.12049,0.79799,0.84256,0.0013532,0.0013532,0.0013532
100,6389.8,1.06058,0.54862,0.80768,0.89612,0.80469,0.88393,0.57479,1.14115,0.66013,0.84606,0.0013466,0.0013466,0.0013466
101,6449.87,1.02846,0.55106,0.81116,0.88207,0.75781,0.87373,0.53879,1.20429,0.72573,0.84769,0.00134,0.00134,0.00134
102,6511.36,1.05522,0.5529,0.81114,0.90064,0.84375,0.8846,0.52895,1.26114,0.76729,0.86295,0.0013334,0.0013334,0.0013334
103,6571.76,1.04498,0.5607,0.80904,0.91987,0.8072,0.89405,0.5485,1.17969,0.70436,0.84541,0.0013268,0.0013268,0.0013268
104,6634.02,1.00762,0.52044,0.79737,0.92983,0.82825,0.89076,0.5601,1.15081,0.68198,0.83795,0.0013202,0.0013202,0.0013202
105,6694.06,1.07849,0.55911,0.81293,0.90747,0.76618,0.876,0.57965,1.15435,0.73868,0.843,0.0013136,0.0013136,0.0013136
106,6757.85,1.03735,0.57305,0.80529,0.91458,0.84375,0.90144,0.55632,1.21495,0.76258,0.85243,0.001307,0.001307,0.001307
107,6818.5,0.98005,0.53303,0.80399,0.90454,0.82812,0.87973,0.57605,1.0862,0.66302,0.84007,0.0013004,0.0013004,0.0013004
108,6878.27,0.94652,0.51385,0.80374,0.91817,0.7889,0.87453,0.553,1.10869,0.88219,0.8414,0.0012938,0.0012938,0.0012938
109,6939.08,0.91355,0.47625,0.79316,0.94948,0.8125,0.89574,0.55822,1.17817,0.77269,0.84246,0.0012872,0.0012872,0.0012872
110,6997.92,1.00785,0.52775,0.80526,0.93859,0.80469,0.8803,0.55599,1.15391,0.70601,0.8395,0.0012806,0.0012806,0.0012806
111,7059.08,1.02924,0.51859,0.8052,0.90624,0.83064,0.88968,0.57129,1.14262,0.7124,0.8514,0.001274,0.001274,0.001274
112,7120.55,0.99289,0.53016,0.80829,0.89189,0.77343,0.86405,0.53606,1.2431,0.83743,0.84691,0.0012674,0.0012674,0.0012674
113,7180.51,0.98918,0.53047,0.7997,0.92059,0.82812,0.88457,0.55291,1.21537,0.77262,0.84375,0.0012608,0.0012608,0.0012608
114,7241.04,1.0155,0.55916,0.80121,0.9157,0.76375,0.83944,0.52333,1.19659,0.73259,0.84485,0.0012542,0.0012542,0.0012542
115,7301.31,0.95624,0.5036,0.80096,0.94348,0.7825,0.87902,0.52353,1.19463,0.74229,0.85708,0.0012476,0.0012476,0.0012476
116,7361.24,0.96707,0.49573,0.79751,0.88748,0.8011,0.89385,0.58888,1.16663,0.73548,0.83984,0.001241,0.001241,0.001241
117,7420.63,0.98138,0.4885,0.81265,0.9188,0.72656,0.84734,0.50962,1.15011,0.75105,0.83608,0.0012344,0.0012344,0.0012344
118,7479.65,0.96088,0.50125,0.79869,0.88469,0.77922,0.88228,0.56066,1.11464,0.77216,0.8349,0.0012278,0.0012278,0.0012278
119,7538.85,0.93828,0.49846,0.79689,0.97112,0.84375,0.90627,0.59893,1.1029,0.8126,0.83795,0.0012212,0.0012212,0.0012212
120,7598.27,0.99357,0.51072,0.79782,0.95142,0.76505,0.88701,0.56404,1.10903,0.66645,0.83124,0.0012146,0.0012146,0.0012146
121,7657.97,0.96771,0.50778,0.79102,0.9119,0.8125,0.89263,0.57956,1.13985,0.63123,0.83727,0.001208,0.001208,0.001208
